"Date","Price","Open","High","Low","Change %"
"Dec 31, 2019","1,759.390","1,759.390","1,759.390","1,759.390","-0.01%"
"Dec 30, 2019","1,759.520","1,759.520","1,759.520","1,759.520","-0.03%"
"Dec 27, 2019","1,760.120","1,760.120","1,760.120","1,760.120","0.01%"
"Dec 24, 2019","1,760.010","1,760.010","1,760.010","1,760.010","0.01%"
"Dec 23, 2019","1,759.900","1,759.900","1,759.900","1,759.900","-0.01%"
"Dec 20, 2019","1,759.990","1,759.990","1,759.990","1,759.990","-0.01%"
"Dec 19, 2019","1,760.230","1,760.230","1,760.230","1,760.230","-0.06%"
"Dec 18, 2019","1,761.320","1,761.320","1,761.320","1,761.320","0.02%"
"Dec 17, 2019","1,760.900","1,760.900","1,760.900","1,760.900","0.02%"
"Dec 16, 2019","1,760.520","1,760.520","1,760.520","1,760.520","0.03%"
"Dec 13, 2019","1,760.030","1,760.030","1,760.030","1,760.030","0.04%"
"Dec 12, 2019","1,759.340","1,759.340","1,759.340","1,759.340","0.04%"
"Dec 11, 2019","1,758.680","1,758.680","1,758.680","1,758.680","0.01%"
"Dec 10, 2019","1,758.550","1,758.550","1,758.550","1,758.550","0.03%"
"Dec 09, 2019","1,757.980","1,757.980","1,757.980","1,757.980","0.07%"
"Dec 06, 2019","1,756.690","1,756.690","1,756.690","1,756.690","0.01%"
"Dec 05, 2019","1,756.580","1,756.580","1,756.580","1,756.580","0.00%"
"Dec 04, 2019","1,756.580","1,756.580","1,756.580","1,756.580","0.03%"
"Dec 03, 2019","1,756.110","1,756.110","1,756.110","1,756.110","-0.04%"
"Dec 02, 2019","1,756.880","1,756.880","1,756.880","1,756.880","-0.05%"
"Nov 29, 2019","1,757.720","1,757.720","1,757.720","1,757.720","0.01%"
"Nov 28, 2019","1,757.520","1,757.520","1,757.520","1,757.520","-0.01%"
"Nov 27, 2019","1,757.630","1,757.630","1,757.630","1,757.630","-0.03%"
"Nov 26, 2019","1,758.220","1,758.220","1,758.220","1,758.220","0.00%"
"Nov 25, 2019","1,758.170","1,758.170","1,758.170","1,758.170","0.05%"
"Nov 22, 2019","1,757.280","1,757.280","1,757.280","1,757.280","0.00%"
"Nov 21, 2019","1,757.230","1,757.230","1,757.230","1,757.230","0.02%"
"Nov 20, 2019","1,756.920","1,756.920","1,756.920","1,756.920","0.02%"
"Nov 19, 2019","1,756.600","1,756.600","1,756.600","1,756.600","-0.04%"
"Nov 18, 2019","1,757.270","1,757.270","1,757.270","1,757.270","0.02%"
"Nov 15, 2019","1,756.940","1,756.940","1,756.940","1,756.940","0.03%"
"Nov 14, 2019","1,756.450","1,756.450","1,756.450","1,756.450","-0.06%"
"Nov 13, 2019","1,757.590","1,757.590","1,757.590","1,757.590","-0.05%"
"Nov 12, 2019","1,758.510","1,758.510","1,758.510","1,758.510","-0.05%"
"Nov 08, 2019","1,759.370","1,759.370","1,759.370","1,759.370","-0.06%"
"Nov 07, 2019","1,760.340","1,760.340","1,760.340","1,760.340","-0.08%"
"Nov 06, 2019","1,761.720","1,761.720","1,761.720","1,761.720","0.01%"
"Nov 05, 2019","1,761.550","1,761.550","1,761.550","1,761.550","-0.01%"
"Nov 04, 2019","1,761.660","1,761.660","1,761.660","1,761.660","-0.02%"
"Oct 31, 2019","1,761.950","1,761.950","1,761.950","1,761.950","0.05%"
"Oct 30, 2019","1,761.050","1,761.050","1,761.050","1,761.050","0.02%"
"Oct 29, 2019","1,760.740","1,760.740","1,760.740","1,760.740","0.00%"
"Oct 28, 2019","1,760.730","1,760.730","1,760.730","1,760.730","0.01%"
"Oct 25, 2019","1,760.590","1,760.590","1,760.590","1,760.590","0.02%"
"Oct 24, 2019","1,760.300","1,760.300","1,760.300","1,760.300","0.05%"
"Oct 23, 2019","1,759.450","1,759.450","1,759.450","1,759.450","-0.01%"
"Oct 22, 2019","1,759.590","1,759.590","1,759.590","1,759.590","0.07%"
"Oct 21, 2019","1,758.430","1,758.430","1,758.430","1,758.430","-0.01%"
"Oct 18, 2019","1,758.690","1,758.690","1,758.690","1,758.690","0.04%"
"Oct 17, 2019","1,757.950","1,757.950","1,757.950","1,757.950","-0.02%"
"Oct 16, 2019","1,758.330","1,758.330","1,758.330","1,758.330","-0.01%"
"Oct 15, 2019","1,758.440","1,758.440","1,758.440","1,758.440","0.06%"
"Oct 14, 2019","1,757.470","1,757.470","1,757.470","1,757.470","0.01%"
"Oct 11, 2019","1,757.380","1,757.380","1,757.380","1,757.380","0.06%"
"Oct 10, 2019","1,756.380","1,756.380","1,756.380","1,756.380","-0.08%"
"Oct 09, 2019","1,757.830","1,757.830","1,757.830","1,757.830","-0.02%"
"Oct 08, 2019","1,758.150","1,758.150","1,758.150","1,758.150","-0.00%"
"Oct 07, 2019","1,758.190","1,758.190","1,758.190","1,758.190","-0.02%"
"Oct 04, 2019","1,758.570","1,758.570","1,758.570","1,758.570","-0.01%"
"Oct 03, 2019","1,758.830","1,758.830","1,758.830","1,758.830","0.04%"
"Oct 02, 2019","1,758.080","1,758.080","1,758.080","1,758.080","-0.08%"
"Oct 01, 2019","1,759.570","1,759.570","1,759.570","1,759.570","-0.01%"
"Sep 30, 2019","1,759.740","1,759.740","1,759.740","1,759.740","-0.02%"
"Sep 27, 2019","1,760.100","1,760.100","1,760.100","1,760.100","-0.01%"
"Sep 26, 2019","1,760.230","1,760.230","1,760.230","1,760.230","0.01%"
"Sep 25, 2019","1,759.970","1,759.970","1,759.970","1,759.970","0.05%"
"Sep 24, 2019","1,759.160","1,759.160","1,759.160","1,759.160","-0.03%"
"Sep 23, 2019","1,759.700","1,759.700","1,759.700","1,759.700","0.03%"
"Sep 20, 2019","1,759.150","1,759.150","1,759.150","1,759.150","0.00%"
"Sep 19, 2019","1,759.070","1,759.070","1,759.070","1,759.070","-0.00%"
"Sep 18, 2019","1,759.080","1,759.080","1,759.080","1,759.080","0.03%"
"Sep 17, 2019","1,758.560","1,758.560","1,758.560","1,758.560","-0.05%"
"Sep 16, 2019","1,759.430","1,759.430","1,759.430","1,759.430","-0.04%"
"Sep 13, 2019","1,760.100","1,760.100","1,760.100","1,760.100","0.06%"
"Sep 12, 2019","1,759.000","1,759.000","1,759.000","1,759.000","0.22%"
"Sep 11, 2019","1,755.060","1,755.060","1,755.060","1,755.060","0.04%"
"Sep 10, 2019","1,754.290","1,754.290","1,754.290","1,754.290","-0.08%"
"Sep 09, 2019","1,755.760","1,755.760","1,755.760","1,755.760","-0.05%"
"Sep 06, 2019","1,756.640","1,756.640","1,756.640","1,756.640","-0.04%"
"Sep 05, 2019","1,757.420","1,757.420","1,757.420","1,757.420","-0.09%"
"Sep 04, 2019","1,758.970","1,758.970","1,758.970","1,758.970","0.09%"
"Sep 03, 2019","1,757.400","1,757.400","1,757.400","1,757.400","0.07%"
"Sep 02, 2019","1,756.200","1,756.200","1,756.200","1,756.200","0.00%"
"Aug 30, 2019","1,756.120","1,756.120","1,756.120","1,756.120","-0.01%"
"Aug 29, 2019","1,756.300","1,756.300","1,756.300","1,756.300","0.11%"
"Aug 28, 2019","1,754.360","1,754.360","1,754.360","1,754.360","0.12%"
"Aug 27, 2019","1,752.330","1,752.330","1,752.330","1,752.330","0.17%"
"Aug 26, 2019","1,749.430","1,749.430","1,749.430","1,749.430","0.03%"
"Aug 23, 2019","1,748.930","1,748.930","1,748.930","1,748.930","-0.01%"
"Aug 22, 2019","1,749.170","1,749.170","1,749.170","1,749.170","0.06%"
"Aug 21, 2019","1,748.080","1,748.080","1,748.080","1,748.080","0.07%"
"Aug 20, 2019","1,746.940","1,746.940","1,746.940","1,746.940","0.08%"
"Aug 19, 2019","1,745.600","1,745.600","1,745.600","1,745.600","-0.05%"
"Aug 16, 2019","1,746.430","1,746.430","1,746.430","1,746.430","0.09%"
"Aug 14, 2019","1,744.930","1,744.930","1,744.930","1,744.930","0.08%"
"Aug 13, 2019","1,743.470","1,743.470","1,743.470","1,743.470","0.05%"
"Aug 12, 2019","1,742.650","1,742.650","1,742.650","1,742.650","0.07%"
"Aug 09, 2019","1,741.420","1,741.420","1,741.420","1,741.420","-0.37%"
"Aug 08, 2019","1,747.860","1,747.860","1,747.860","1,747.860","-0.15%"
"Aug 07, 2019","1,750.400","1,750.400","1,750.400","1,750.400","0.15%"
"Aug 06, 2019","1,747.780","1,747.780","1,747.780","1,747.780","0.09%"
"Aug 05, 2019","1,746.210","1,746.210","1,746.210","1,746.210","-0.07%"
"Aug 02, 2019","1,747.410","1,747.410","1,747.410","1,747.410","0.03%"
"Aug 01, 2019","1,746.960","1,746.960","1,746.960","1,746.960","-0.05%"
"Jul 31, 2019","1,747.750","1,747.750","1,747.750","1,747.750","0.10%"
"Jul 30, 2019","1,746.020","1,746.020","1,746.020","1,746.020","-0.04%"
"Jul 29, 2019","1,746.770","1,746.770","1,746.770","1,746.770","0.00%"
"Jul 26, 2019","1,746.730","1,746.730","1,746.730","1,746.730","-0.03%"
"Jul 25, 2019","1,747.280","1,747.280","1,747.280","1,747.280","-0.04%"
"Jul 24, 2019","1,747.950","1,747.950","1,747.950","1,747.950","0.15%"
"Jul 23, 2019","1,745.360","1,745.360","1,745.360","1,745.360","0.07%"
"Jul 22, 2019","1,744.160","1,744.160","1,744.160","1,744.160","-0.06%"
"Jul 19, 2019","1,745.120","1,745.120","1,745.120","1,745.120","-0.02%"
"Jul 18, 2019","1,745.400","1,745.400","1,745.400","1,745.400","0.09%"
"Jul 17, 2019","1,743.880","1,743.880","1,743.880","1,743.880","0.01%"
"Jul 16, 2019","1,743.770","1,743.770","1,743.770","1,743.770","0.05%"
"Jul 15, 2019","1,742.880","1,742.880","1,742.880","1,742.880","0.12%"
"Jul 12, 2019","1,740.870","1,740.870","1,740.870","1,740.870","-0.17%"
"Jul 11, 2019","1,743.890","1,743.890","1,743.890","1,743.890","0.10%"
"Jul 10, 2019","1,742.210","1,742.210","1,742.210","1,742.210","-0.06%"
"Jul 09, 2019","1,743.280","1,743.280","1,743.280","1,743.280","-0.01%"
"Jul 08, 2019","1,743.430","1,743.430","1,743.430","1,743.430","-0.12%"
"Jul 05, 2019","1,745.470","1,745.470","1,745.470","1,745.470","-0.16%"
"Jul 04, 2019","1,748.260","1,748.260","1,748.260","1,748.260","-0.05%"
"Jul 03, 2019","1,749.220","1,749.220","1,749.220","1,749.220","0.42%"
"Jul 02, 2019","1,741.950","1,741.950","1,741.950","1,741.950","0.17%"
"Jul 01, 2019","1,738.970","1,738.970","1,738.970","1,738.970","0.19%"
"Jun 28, 2019","1,735.740","1,735.740","1,735.740","1,735.740","0.04%"
"Jun 27, 2019","1,734.960","1,734.960","1,734.960","1,734.960","-0.00%"
"Jun 26, 2019","1,735.000","1,735.000","1,735.000","1,735.000","-0.01%"
"Jun 25, 2019","1,735.150","1,735.150","1,735.150","1,735.150","-0.03%"
"Jun 24, 2019","1,735.750","1,735.750","1,735.750","1,735.750","0.04%"
"Jun 21, 2019","1,734.980","1,734.980","1,734.980","1,734.980","-0.06%"
"Jun 20, 2019","1,736.090","1,736.090","1,736.090","1,736.090","0.14%"
"Jun 19, 2019","1,733.740","1,733.740","1,733.740","1,733.740","0.07%"
"Jun 18, 2019","1,732.560","1,732.560","1,732.560","1,732.560","0.32%"
"Jun 17, 2019","1,727.070","1,727.070","1,727.070","1,727.070","-0.05%"
"Jun 14, 2019","1,728.010","1,728.010","1,728.010","1,728.010","0.10%"
"Jun 13, 2019","1,726.300","1,726.300","1,726.300","1,726.300","0.10%"
"Jun 12, 2019","1,724.660","1,724.660","1,724.660","1,724.660","-0.00%"
"Jun 11, 2019","1,724.730","1,724.730","1,724.730","1,724.730","-0.02%"
"Jun 07, 2019","1,725.120","1,725.120","1,725.120","1,725.120","0.17%"
"Jun 06, 2019","1,722.230","1,722.230","1,722.230","1,722.230","0.12%"
"Jun 05, 2019","1,720.250","1,720.250","1,720.250","1,720.250","0.05%"
"Jun 04, 2019","1,719.340","1,719.340","1,719.340","1,719.340","0.06%"
"Jun 03, 2019","1,718.240","1,718.240","1,718.240","1,718.240","0.08%"
"May 31, 2019","1,716.940","1,716.940","1,716.940","1,716.940","0.08%"
"May 29, 2019","1,715.520","1,715.520","1,715.520","1,715.520","0.04%"
"May 28, 2019","1,714.890","1,714.890","1,714.890","1,714.890","-0.01%"
"May 27, 2019","1,715.100","1,715.100","1,715.100","1,715.100","0.06%"
"May 24, 2019","1,714.010","1,714.010","1,714.010","1,714.010","0.04%"
"May 23, 2019","1,713.250","1,713.250","1,713.250","1,713.250","-0.04%"
"May 22, 2019","1,713.950","1,713.950","1,713.950","1,713.950","-0.00%"
"May 21, 2019","1,714.020","1,714.020","1,714.020","1,714.020","0.01%"
"May 20, 2019","1,713.780","1,713.780","1,713.780","1,713.780","-0.01%"
"May 17, 2019","1,713.970","1,713.970","1,713.970","1,713.970","0.03%"
"May 16, 2019","1,713.520","1,713.520","1,713.520","1,713.520","0.06%"
"May 15, 2019","1,712.470","1,712.470","1,712.470","1,712.470","0.03%"
"May 14, 2019","1,711.940","1,711.940","1,711.940","1,711.940","-0.00%"
"May 13, 2019","1,712.010","1,712.010","1,712.010","1,712.010","-0.00%"
"May 10, 2019","1,712.090","1,712.090","1,712.090","1,712.090","-0.00%"
"May 09, 2019","1,712.110","1,712.110","1,712.110","1,712.110","-0.09%"
"May 07, 2019","1,713.640","1,713.640","1,713.640","1,713.640","0.00%"
"May 06, 2019","1,713.590","1,713.590","1,713.590","1,713.590","0.00%"
"May 03, 2019","1,713.550","1,713.550","1,713.550","1,713.550","0.02%"
