"Date","Price","Open","High","Low","Change %"
"Dec 31, 2019","4.64","4.64","4.64","4.64","-0.64%"
"Dec 30, 2019","4.67","4.67","4.67","4.67","0.00%"
"Dec 27, 2019","4.67","4.67","4.67","4.67","0.00%"
"Dec 26, 2019","4.67","4.67","4.67","4.67","0.65%"
"Dec 24, 2019","4.64","4.64","4.64","4.64","0.65%"
"Dec 23, 2019","4.61","4.61","4.61","4.61","-0.22%"
"Dec 20, 2019","4.62","4.62","4.62","4.62","0.00%"
"Dec 19, 2019","4.62","4.62","4.62","4.62","0.43%"
"Dec 18, 2019","4.60","4.60","4.60","4.60","-0.22%"
"Dec 17, 2019","4.61","4.61","4.61","4.61","0.00%"
"Dec 16, 2019","4.61","4.61","4.61","4.61","1.10%"
"Dec 13, 2019","4.56","4.56","4.56","4.56","0.44%"
"Dec 12, 2019","4.54","4.54","4.54","4.54","0.89%"
"Dec 11, 2019","4.50","4.50","4.50","4.50","-0.22%"
"Dec 10, 2019","4.51","4.51","4.51","4.51","0.45%"
"Dec 09, 2019","4.49","4.49","4.49","4.49","0.00%"
"Dec 06, 2019","4.49","4.49","4.49","4.49","0.22%"
"Dec 05, 2019","4.48","4.48","4.48","4.48","0.22%"
"Dec 04, 2019","4.47","4.47","4.47","4.47","0.68%"
"Dec 03, 2019","4.44","4.44","4.44","4.44","0.23%"
"Dec 02, 2019","4.43","4.43","4.43","4.43","0.00%"
"Nov 29, 2019","4.43","4.43","4.43","4.43","-1.34%"
"Nov 27, 2019","4.49","4.49","4.49","4.49","-0.44%"
"Nov 26, 2019","4.51","4.51","4.51","4.51","0.00%"
"Nov 25, 2019","4.51","4.51","4.51","4.51","0.00%"
"Nov 22, 2019","4.51","4.51","4.51","4.51","0.00%"
"Nov 21, 2019","4.51","4.51","4.51","4.51","0.45%"
"Nov 20, 2019","4.49","4.49","4.49","4.49","0.45%"
"Nov 19, 2019","4.47","4.47","4.47","4.47","-0.45%"
"Nov 18, 2019","4.49","4.49","4.49","4.49","-0.88%"
"Nov 15, 2019","4.53","4.53","4.53","4.53","0.22%"
"Nov 14, 2019","4.52","4.52","4.52","4.52","-0.22%"
"Nov 13, 2019","4.53","4.53","4.53","4.53","0.00%"
"Nov 12, 2019","4.53","4.53","4.53","4.53","0.00%"
"Nov 11, 2019","4.53","4.53","4.53","4.53","-1.09%"
"Nov 08, 2019","4.58","4.58","4.58","4.58","0.00%"
"Nov 07, 2019","4.58","4.58","4.58","4.58","-0.22%"
"Nov 06, 2019","4.59","4.59","4.59","4.59","-0.65%"
"Nov 05, 2019","4.62","4.62","4.62","4.62","0.00%"
"Nov 04, 2019","4.62","4.62","4.62","4.62","0.43%"
"Nov 01, 2019","4.60","4.60","4.60","4.60","1.32%"
"Oct 31, 2019","4.54","4.54","4.54","4.54","-0.44%"
"Oct 30, 2019","4.56","4.56","4.56","4.56","0.00%"
"Oct 29, 2019","4.56","4.56","4.56","4.56","0.22%"
"Oct 28, 2019","4.55","4.55","4.55","4.55","-0.22%"
"Oct 25, 2019","4.56","4.56","4.56","4.56","0.22%"
"Oct 24, 2019","4.55","4.55","4.55","4.55","0.44%"
"Oct 23, 2019","4.53","4.53","4.53","4.53","0.67%"
"Oct 22, 2019","4.50","4.50","4.50","4.50","0.45%"
"Oct 21, 2019","4.48","4.48","4.48","4.48","-0.67%"
"Oct 18, 2019","4.51","4.51","4.51","4.51","0.22%"
"Oct 17, 2019","4.50","4.50","4.50","4.50","0.22%"
"Oct 16, 2019","4.49","4.49","4.49","4.49","0.00%"
"Oct 15, 2019","4.49","4.49","4.49","4.49","-0.22%"
"Oct 14, 2019","4.50","4.50","4.50","4.50","-0.22%"
"Oct 11, 2019","4.51","4.51","4.51","4.51","0.89%"
"Oct 10, 2019","4.47","4.47","4.47","4.47","0.22%"
"Oct 09, 2019","4.46","4.46","4.46","4.46","0.00%"
"Oct 08, 2019","4.46","4.46","4.46","4.46","0.22%"
"Oct 07, 2019","4.45","4.45","4.45","4.45","-0.22%"
"Oct 04, 2019","4.46","4.46","4.46","4.46","0.22%"
"Oct 03, 2019","4.45","4.45","4.45","4.45","0.23%"
"Oct 02, 2019","4.44","4.44","4.44","4.44","-0.45%"
"Oct 01, 2019","4.46","4.46","4.46","4.46","0.22%"
"Sep 30, 2019","4.45","4.45","4.45","4.45","-1.11%"
"Sep 27, 2019","4.50","4.50","4.50","4.50","-0.44%"
"Sep 26, 2019","4.52","4.52","4.52","4.52","-0.44%"
"Sep 25, 2019","4.54","4.54","4.54","4.54","-0.44%"
"Sep 24, 2019","4.56","4.56","4.56","4.56","-0.65%"
"Sep 23, 2019","4.59","4.59","4.59","4.59","0.88%"
"Sep 20, 2019","4.55","4.55","4.55","4.55","-0.22%"
"Sep 19, 2019","4.56","4.56","4.56","4.56","-0.22%"
"Sep 18, 2019","4.57","4.57","4.57","4.57","-0.44%"
"Sep 17, 2019","4.59","4.59","4.59","4.59","-1.71%"
"Sep 16, 2019","4.67","4.67","4.67","4.67","3.32%"
"Sep 13, 2019","4.52","4.52","4.52","4.52","0.22%"
"Sep 12, 2019","4.51","4.51","4.51","4.51","0.45%"
"Sep 11, 2019","4.49","4.49","4.49","4.49","-0.66%"
"Sep 10, 2019","4.52","4.52","4.52","4.52","0.22%"
"Sep 09, 2019","4.51","4.51","4.51","4.51","0.89%"
"Sep 06, 2019","4.47","4.47","4.47","4.47","-0.22%"
"Sep 05, 2019","4.48","4.48","4.48","4.48","-0.44%"
"Sep 04, 2019","4.50","4.50","4.50","4.50","1.81%"
"Sep 03, 2019","4.42","4.42","4.42","4.42","0.00%"
"Aug 30, 2019","4.42","4.42","4.42","4.42","-0.67%"
"Aug 29, 2019","4.45","4.45","4.45","4.45","0.45%"
"Aug 28, 2019","4.43","4.43","4.43","4.43","0.68%"
"Aug 27, 2019","4.40","4.40","4.40","4.40","0.46%"
"Aug 26, 2019","4.38","4.38","4.38","4.38","0.23%"
"Aug 23, 2019","4.37","4.37","4.37","4.37","-0.46%"
"Aug 22, 2019","4.39","4.39","4.39","4.39","-0.45%"
"Aug 21, 2019","4.41","4.41","4.41","4.41","0.23%"
"Aug 20, 2019","4.40","4.40","4.40","4.40","0.00%"
"Aug 19, 2019","4.40","4.40","4.40","4.40","-0.23%"
"Aug 16, 2019","4.41","4.41","4.41","4.41","0.23%"
"Aug 15, 2019","4.40","4.40","4.40","4.40","-0.23%"
"Aug 14, 2019","4.41","4.41","4.41","4.41","-0.90%"
"Aug 13, 2019","4.45","4.45","4.45","4.45","0.91%"
"Aug 12, 2019","4.41","4.41","4.41","4.41","-0.68%"
"Aug 09, 2019","4.44","4.44","4.44","4.44","0.45%"
"Aug 08, 2019","4.42","4.41","4.42","4.41","1.38%"
"Aug 07, 2019","4.36","4.36","4.36","4.36","-0.68%"
"Aug 06, 2019","4.39","4.39","4.39","4.39","-0.45%"
"Aug 05, 2019","4.41","4.41","4.41","4.41","-0.45%"
"Aug 02, 2019","4.43","4.43","4.43","4.43","0.23%"
"Aug 01, 2019","4.42","4.42","4.42","4.42","-2.43%"
"Jul 31, 2019","4.53","4.53","4.53","4.53","-0.22%"
"Jul 30, 2019","4.54","4.54","4.54","4.54","0.00%"
"Jul 29, 2019","4.54","4.54","4.54","4.54","0.44%"
"Jul 26, 2019","4.52","4.52","4.52","4.52","-0.22%"
"Jul 25, 2019","4.53","4.53","4.53","4.53","-0.44%"
"Jul 24, 2019","4.55","4.55","4.55","4.55","-0.22%"
"Jul 23, 2019","4.56","4.56","4.56","4.56","0.44%"
"Jul 22, 2019","4.54","4.54","4.54","4.54","-0.22%"
"Jul 19, 2019","4.55","4.55","4.55","4.55","0.44%"
"Jul 18, 2019","4.53","4.53","4.53","4.53","-0.66%"
"Jul 17, 2019","4.56","4.56","4.56","4.56","-0.22%"
"Jul 16, 2019","4.57","4.57","4.57","4.57","-1.08%"
"Jul 15, 2019","4.62","4.62","4.62","4.62","-0.65%"
"Jul 12, 2019","4.65","4.65","4.65","4.65","0.65%"
"Jul 11, 2019","4.62","4.62","4.62","4.62","0.00%"
"Jul 10, 2019","4.62","4.62","4.62","4.62","1.76%"
"Jul 09, 2019","4.54","4.54","4.54","4.54","0.22%"
"Jul 08, 2019","4.53","4.53","4.53","4.53","-0.22%"
"Jul 05, 2019","4.54","4.54","4.54","4.54","0.00%"
"Jul 03, 2019","4.54","4.54","4.54","4.54","1.34%"
"Jul 02, 2019","4.48","4.48","4.48","4.48","-1.10%"
"Jul 01, 2019","4.53","4.53","4.53","4.53","-0.88%"
"Jun 28, 2019","4.57","4.57","4.57","4.57","-0.87%"
"Jun 27, 2019","4.61","4.61","4.61","4.61","0.00%"
"Jun 26, 2019","4.61","4.61","4.61","4.61","0.44%"
"Jun 25, 2019","4.59","4.59","4.59","4.59","0.44%"
"Jun 24, 2019","4.57","4.57","4.57","4.57","0.88%"
"Jun 21, 2019","4.53","4.53","4.53","4.53","-0.44%"
"Jun 20, 2019","4.55","4.55","4.55","4.55","1.79%"
"Jun 19, 2019","4.47","4.47","4.47","4.47","-0.67%"
"Jun 18, 2019","4.50","4.50","4.50","4.50","0.67%"
"Jun 17, 2019","4.47","4.47","4.47","4.47","0.00%"
"Jun 14, 2019","4.47","4.47","4.47","4.47","0.22%"
"Jun 13, 2019","4.46","4.46","4.46","4.46","0.68%"
"Jun 12, 2019","4.43","4.43","4.43","4.43","-0.45%"
"Jun 11, 2019","4.45","4.45","4.45","4.45","0.45%"
"Jun 10, 2019","4.43","4.43","4.43","4.43","0.00%"
"Jun 07, 2019","4.43","4.43","4.43","4.43","0.00%"
"Jun 06, 2019","4.43","4.43","4.43","4.43","0.91%"
"Jun 05, 2019","4.39","4.39","4.39","4.39","-1.57%"
"Jun 04, 2019","4.46","4.46","4.46","4.46","0.22%"
"Jun 03, 2019","4.45","4.45","4.45","4.45","-0.22%"
"May 31, 2019","4.46","4.46","4.46","4.46","-1.76%"
"May 30, 2019","4.54","4.54","4.54","4.54","-0.44%"
"May 29, 2019","4.56","4.56","4.56","4.56","0.00%"
"May 28, 2019","4.56","4.56","4.56","4.56","0.88%"
"May 24, 2019","4.52","4.52","4.52","4.52","0.89%"
"May 23, 2019","4.48","4.48","4.48","4.48","-1.10%"
"May 22, 2019","4.53","4.53","4.53","4.53","-1.09%"
"May 21, 2019","4.58","4.58","4.58","4.58","-0.22%"
"May 20, 2019","4.59","4.59","4.59","4.59","0.44%"
"May 17, 2019","4.57","4.57","4.57","4.57","-0.87%"
"May 16, 2019","4.61","4.61","4.61","4.61","0.88%"
"May 15, 2019","4.57","4.57","4.57","4.57","0.44%"
"May 14, 2019","4.55","4.55","4.55","4.55","1.11%"
"May 13, 2019","4.50","4.50","4.50","4.50","-0.22%"
"May 10, 2019","4.51","4.51","4.51","4.51","0.00%"
"May 09, 2019","4.51","4.51","4.51","4.51","-0.44%"
"May 08, 2019","4.53","4.53","4.53","4.53","0.00%"
"May 07, 2019","4.53","4.53","4.53","4.53","-0.66%"
"May 06, 2019","4.56","4.56","4.56","4.56","-0.44%"
"May 03, 2019","4.58","4.58","4.58","4.58","0.22%"
"May 02, 2019","4.57","4.57","4.57","4.57","-0.87%"
"May 01, 2019","4.61","4.61","4.61","4.61","-0.22%"
"Apr 30, 2019","4.62","4.62","4.62","4.62","0.00%"
"Apr 29, 2019","4.62","4.62","4.62","4.62","-0.22%"
"Apr 26, 2019","4.63","4.63","4.63","4.63","-0.64%"
"Apr 25, 2019","4.66","4.66","4.66","4.66","-0.21%"
"Apr 24, 2019","4.67","4.67","4.67","4.67","-0.21%"
"Apr 23, 2019","4.68","4.68","4.68","4.68","-0.43%"
"Apr 22, 2019","4.70","4.70","4.70","4.70","0.21%"
"Apr 18, 2019","4.69","4.69","4.69","4.69","0.21%"
"Apr 17, 2019","4.68","4.68","4.68","4.68","-0.43%"
"Apr 16, 2019","4.70","4.70","4.70","4.70","-0.42%"
"Apr 15, 2019","4.72","4.72","4.72","4.72","-0.42%"
"Apr 12, 2019","4.74","4.74","4.74","4.74","0.64%"
"Apr 11, 2019","4.71","4.71","4.71","4.71","-1.05%"
"Apr 10, 2019","4.76","4.76","4.76","4.76","0.63%"
"Apr 09, 2019","4.73","4.73","4.73","4.73","-0.21%"
"Apr 08, 2019","4.74","4.74","4.74","4.74","0.42%"
"Apr 05, 2019","4.72","4.72","4.72","4.72","0.21%"
"Apr 04, 2019","4.71","4.71","4.71","4.71","0.00%"
"Apr 03, 2019","4.71","4.71","4.71","4.71","0.43%"
"Apr 02, 2019","4.69","4.69","4.69","4.69","0.21%"
"Apr 01, 2019","4.68","4.68","4.68","4.68","0.65%"
"Mar 29, 2019","4.65","4.65","4.65","4.65","-0.21%"
"Mar 28, 2019","4.66","4.66","4.66","4.66","-0.64%"
"Mar 27, 2019","4.69","4.69","4.69","4.69","-0.42%"
"Mar 26, 2019","4.71","4.71","4.71","4.71","0.00%"
"Mar 25, 2019","4.71","4.71","4.71","4.71","0.21%"
"Mar 22, 2019","4.70","4.70","4.70","4.70","-0.63%"
"Mar 21, 2019","4.73","4.73","4.73","4.73","0.00%"
"Mar 20, 2019","4.73","4.73","4.73","4.73","0.21%"
"Mar 19, 2019","4.72","4.72","4.72","4.72","0.21%"
"Mar 18, 2019","4.71","4.71","4.71","4.71","0.43%"
"Mar 15, 2019","4.69","4.69","4.69","4.69","0.43%"
"Mar 14, 2019","4.67","4.67","4.67","4.67","-0.43%"
"Mar 13, 2019","4.69","4.69","4.69","4.69","0.86%"
"Mar 12, 2019","4.65","4.65","4.65","4.65","0.87%"
"Mar 11, 2019","4.61","4.61","4.61","4.61","-0.22%"
"Mar 08, 2019","4.62","4.62","4.62","4.62","-0.22%"
"Mar 07, 2019","4.63","4.63","4.63","4.63","-0.22%"
"Mar 06, 2019","4.64","4.64","4.64","4.64","-0.64%"
"Mar 05, 2019","4.67","4.67","4.67","4.67","0.65%"
"Mar 04, 2019","4.64","4.64","4.64","4.64","-0.22%"
"Mar 01, 2019","4.65","4.65","4.65","4.65","-0.64%"
"Feb 28, 2019","4.68","4.68","4.68","4.68","-0.21%"
"Feb 27, 2019","4.69","4.69","4.69","4.69","0.64%"
"Feb 26, 2019","4.66","4.66","4.66","4.66","-0.21%"
"Feb 25, 2019","4.67","4.67","4.67","4.67","-1.06%"
"Feb 22, 2019","4.72","4.72","4.72","4.72","0.43%"
"Feb 21, 2019","4.70","4.70","4.70","4.70","0.21%"
"Feb 20, 2019","4.69","4.69","4.69","4.69","0.43%"
"Feb 19, 2019","4.67","4.67","4.67","4.67","0.43%"
"Feb 15, 2019","4.65","4.65","4.65","4.65","1.31%"
"Feb 14, 2019","4.59","4.59","4.59","4.59","-0.22%"
"Feb 13, 2019","4.60","4.60","4.60","4.60","0.00%"
"Feb 12, 2019","4.60","4.60","4.60","4.60","0.66%"
"Feb 11, 2019","4.57","4.57","4.57","4.57","-0.65%"
"Feb 08, 2019","4.60","4.60","4.60","4.60","0.22%"
"Feb 07, 2019","4.59","4.59","4.59","4.59","-1.29%"
"Feb 06, 2019","4.65","4.65","4.65","4.65","0.22%"
"Feb 05, 2019","4.64","4.64","4.64","4.64","-0.22%"
"Feb 04, 2019","4.65","4.65","4.65","4.65","0.00%"
"Feb 01, 2019","4.65","4.65","4.65","4.65","0.43%"
"Jan 31, 2019","4.63","4.63","4.63","4.63","-0.22%"
"Jan 30, 2019","4.64","4.64","4.64","4.64","0.43%"
"Jan 29, 2019","4.62","4.62","4.62","4.62","0.87%"
"Jan 28, 2019","4.58","4.58","4.58","4.58","-1.51%"
"Jan 25, 2019","4.65","4.65","4.65","4.65","1.09%"
"Jan 24, 2019","4.60","4.60","4.60","4.60","0.22%"
"Jan 23, 2019","4.59","4.59","4.59","4.59","0.00%"
"Jan 22, 2019","4.59","4.59","4.59","4.59","-1.50%"
"Jan 18, 2019","4.66","4.66","4.66","4.66","1.08%"
"Jan 17, 2019","4.61","4.61","4.61","4.61","0.22%"
"Jan 16, 2019","4.60","4.60","4.60","4.60","0.22%"
"Jan 15, 2019","4.59","4.59","4.59","4.59","0.22%"
"Jan 14, 2019","4.58","4.58","4.58","4.58","0.44%"
"Jan 11, 2019","4.56","4.56","4.56","4.56","0.22%"
"Jan 10, 2019","4.55","4.55","4.55","4.55","-0.66%"
"Jan 09, 2019","4.58","4.58","4.58","4.58","1.33%"
"Jan 08, 2019","4.52","4.52","4.52","4.52","0.44%"
"Jan 07, 2019","4.50","4.50","4.50","4.50","0.45%"
"Jan 04, 2019","4.48","4.48","4.48","4.48","1.13%"
"Jan 03, 2019","4.43","4.43","4.43","4.43","0.45%"
"Jan 02, 2019","4.41","4.41","4.41","4.41","0.46%"
"Dec 31, 2018","4.39","4.39","4.39","4.39","-1.13%"
"Dec 28, 2018","4.44","4.44","4.44","4.44","-0.22%"
"Dec 27, 2018","4.45","4.45","4.45","4.45","-0.45%"
