"Date","Price","Open","High","Low","Change %"
"Dec 31, 2019","114,240.000","114,240.000","114,240.000","114,240.000","0.00%"
"Dec 30, 2019","114,237.000","114,237.000","114,237.000","114,237.000","0.42%"
"Dec 23, 2019","113,757.000","113,757.000","113,757.000","113,757.000","-0.01%"
"Dec 20, 2019","113,764.000","113,764.000","113,764.000","113,764.000","-0.22%"
"Dec 19, 2019","114,015.000","114,015.000","114,015.000","114,015.000","-0.07%"
"Dec 18, 2019","114,094.000","114,094.000","114,094.000","114,094.000","-0.03%"
"Dec 17, 2019","114,128.000","114,128.000","114,128.000","114,128.000","-0.09%"
"Dec 16, 2019","114,235.000","114,235.000","114,235.000","114,235.000","0.09%"
"Dec 13, 2019","114,132.000","114,132.000","114,132.000","114,132.000","0.02%"
"Dec 12, 2019","114,113.000","114,113.000","114,113.000","114,113.000","0.15%"
"Dec 11, 2019","113,940.000","113,940.000","113,940.000","113,940.000","-0.12%"
"Dec 10, 2019","114,073.000","114,073.000","114,073.000","114,073.000","0.11%"
"Dec 09, 2019","113,944.000","113,944.000","113,944.000","113,944.000","-0.08%"
"Dec 06, 2019","114,033.000","114,033.000","114,033.000","114,033.000","-0.29%"
"Dec 05, 2019","114,368.000","114,368.000","114,368.000","114,368.000","0.13%"
"Dec 04, 2019","114,220.000","114,220.000","114,220.000","114,220.000","0.22%"
"Dec 03, 2019","113,970.000","113,970.000","113,970.000","113,970.000","-0.27%"
"Dec 02, 2019","114,281.000","114,281.000","114,281.000","114,281.000","-0.26%"
"Nov 29, 2019","114,579.000","114,579.000","114,579.000","114,579.000","-0.11%"
"Nov 28, 2019","114,710.000","114,710.000","114,710.000","114,710.000","-0.17%"
"Nov 27, 2019","114,910.000","114,910.000","114,910.000","114,910.000","0.26%"
"Nov 26, 2019","114,610.000","114,610.000","114,610.000","114,610.000","0.23%"
"Nov 25, 2019","114,349.000","114,349.000","114,349.000","114,349.000","-0.08%"
"Nov 22, 2019","114,446.000","114,446.000","114,446.000","114,446.000","-0.35%"
"Nov 21, 2019","114,853.000","114,853.000","114,853.000","114,853.000","0.12%"
"Nov 20, 2019","114,720.000","114,720.000","114,720.000","114,720.000","0.19%"
"Nov 19, 2019","114,502.000","114,502.000","114,502.000","114,502.000","0.14%"
"Nov 18, 2019","114,343.000","114,343.000","114,343.000","114,343.000","0.20%"
"Nov 15, 2019","114,115.000","114,115.000","114,115.000","114,115.000","-0.09%"
"Nov 14, 2019","114,218.000","114,218.000","114,218.000","114,218.000","0.19%"
"Nov 13, 2019","114,000.000","114,000.000","114,000.000","114,000.000","0.21%"
"Nov 12, 2019","113,761.000","113,761.000","113,761.000","113,761.000","-0.30%"
"Nov 11, 2019","114,105.000","114,105.000","114,105.000","114,105.000","0.01%"
"Nov 08, 2019","114,095.000","114,095.000","114,095.000","114,095.000","-0.36%"
"Nov 07, 2019","114,509.000","114,509.000","114,509.000","114,509.000","0.00%"
"Nov 06, 2019","114,507.000","114,507.000","114,507.000","114,507.000","-0.50%"
"Nov 05, 2019","115,087.000","115,087.000","115,087.000","115,087.000","-0.35%"
"Nov 01, 2019","115,487.000","115,487.000","115,487.000","115,487.000","0.35%"
"Oct 31, 2019","115,087.000","115,087.000","115,087.000","115,087.000","0.31%"
"Oct 30, 2019","114,735.000","114,735.000","114,735.000","114,735.000","0.15%"
"Oct 29, 2019","114,562.000","114,562.000","114,562.000","114,562.000","-0.23%"
"Oct 28, 2019","114,830.000","114,830.000","114,830.000","114,830.000","-0.14%"
"Oct 25, 2019","114,986.000","114,986.000","114,986.000","114,986.000","-0.01%"
"Oct 24, 2019","115,000.000","115,000.000","115,000.000","115,000.000","0.10%"
"Oct 23, 2019","114,880.000","114,880.000","114,880.000","114,880.000","0.03%"
"Oct 21, 2019","114,840.000","114,840.000","114,840.000","114,840.000","-0.13%"
"Oct 18, 2019","114,993.000","114,993.000","114,993.000","114,993.000","-0.10%"
"Oct 17, 2019","115,109.000","115,109.000","115,109.000","115,109.000","-0.02%"
"Oct 16, 2019","115,130.000","115,130.000","115,130.000","115,130.000","-0.05%"
"Oct 15, 2019","115,191.000","115,191.000","115,191.000","115,191.000","-0.04%"
"Oct 11, 2019","115,237.000","115,237.000","115,237.000","115,237.000","-0.31%"
"Oct 10, 2019","115,597.000","115,597.000","115,597.000","115,597.000","0.09%"
"Oct 09, 2019","115,496.000","115,496.000","115,496.000","115,496.000","-0.01%"
"Oct 08, 2019","115,513.000","115,513.000","115,513.000","115,513.000","-0.25%"
"Oct 07, 2019","115,799.000","115,799.000","115,799.000","115,799.000","0.08%"
"Oct 04, 2019","115,710.000","115,710.000","115,710.000","115,710.000","0.12%"
"Oct 03, 2019","115,571.000","115,571.000","115,571.000","115,571.000","0.38%"
"Oct 02, 2019","115,129.000","115,129.000","115,129.000","115,129.000","0.36%"
"Oct 01, 2019","114,711.000","114,711.000","114,711.000","114,711.000","-0.81%"
"Sep 30, 2019","115,648.000","115,648.000","115,648.000","115,648.000","-0.25%"
