"Date","Price","Open","High","Low","Change %"
"Dec 30, 2019","3,190.000","3,190.000","3,190.000","3,190.000","-0.06%"
"Dec 27, 2019","3,192.000","3,192.000","3,192.000","3,192.000","0.13%"
"Dec 26, 2019","3,188.000","3,188.000","3,188.000","3,188.000","0.22%"
"Dec 25, 2019","3,181.000","3,181.000","3,181.000","3,181.000","-0.09%"
"Dec 24, 2019","3,184.000","3,184.000","3,184.000","3,184.000","0.06%"
"Dec 23, 2019","3,182.000","3,182.000","3,182.000","3,182.000","-0.90%"
"Dec 20, 2019","3,211.000","3,211.000","3,211.000","3,211.000","-0.22%"
"Dec 19, 2019","3,218.000","3,218.000","3,218.000","3,218.000","0.41%"
"Dec 18, 2019","3,205.000","3,205.000","3,205.000","3,205.000","0.22%"
"Dec 17, 2019","3,198.000","3,198.000","3,198.000","3,198.000","0.35%"
"Dec 16, 2019","3,187.000","3,187.000","3,187.000","3,187.000","0.09%"
"Dec 13, 2019","3,184.000","3,184.000","3,184.000","3,184.000","1.27%"
"Dec 12, 2019","3,144.000","3,144.000","3,144.000","3,144.000","-0.10%"
"Dec 11, 2019","3,147.000","3,147.000","3,147.000","3,147.000","0.19%"
"Dec 10, 2019","3,141.000","3,141.000","3,141.000","3,141.000","0.10%"
"Dec 09, 2019","3,138.000","3,138.000","3,138.000","3,138.000","0.10%"
"Dec 06, 2019","3,135.000","3,135.000","3,135.000","3,135.000","0.00%"
"Dec 05, 2019","3,135.000","3,135.000","3,135.000","3,135.000","0.58%"
"Dec 04, 2019","3,117.000","3,117.000","3,117.000","3,117.000","-0.64%"
"Dec 03, 2019","3,137.000","3,137.000","3,137.000","3,137.000","-0.57%"
"Dec 02, 2019","3,155.000","3,155.000","3,155.000","3,155.000","0.10%"
"Nov 29, 2019","3,152.000","3,152.000","3,152.000","3,152.000","0.16%"
"Nov 28, 2019","3,147.000","3,147.000","3,147.000","3,147.000","0.35%"
"Nov 27, 2019","3,136.000","3,136.000","3,136.000","3,136.000","0.16%"
"Nov 26, 2019","3,131.000","3,131.000","3,131.000","3,131.000","0.48%"
"Nov 25, 2019","3,116.000","3,116.000","3,116.000","3,116.000","0.06%"
"Nov 22, 2019","3,114.000","3,114.000","3,114.000","3,114.000","-0.76%"
"Nov 21, 2019","3,138.000","3,138.000","3,138.000","3,138.000","-0.32%"
"Nov 20, 2019","3,148.000","3,148.000","3,148.000","3,148.000","-0.19%"
"Nov 19, 2019","3,154.000","3,154.000","3,154.000","3,154.000","-0.28%"
"Nov 18, 2019","3,163.000","3,163.000","3,163.000","3,163.000","0.19%"
"Nov 15, 2019","3,157.000","3,157.000","3,157.000","3,157.000","-0.16%"
"Nov 14, 2019","3,162.000","3,162.000","3,162.000","3,162.000","-0.19%"
"Nov 13, 2019","3,168.000","3,168.000","3,168.000","3,168.000","-0.25%"
"Nov 12, 2019","3,176.000","3,176.000","3,176.000","3,176.000","0.00%"
"Nov 11, 2019","3,176.000","3,176.000","3,176.000","3,176.000","-0.19%"
"Nov 08, 2019","3,182.000","3,182.000","3,182.000","3,182.000","0.41%"
"Nov 07, 2019","3,169.000","3,169.000","3,169.000","3,169.000","-0.25%"
"Nov 06, 2019","3,177.000","3,177.000","3,177.000","3,177.000","0.25%"
"Nov 05, 2019","3,169.000","3,169.000","3,169.000","3,169.000","1.34%"
"Nov 01, 2019","3,127.000","3,127.000","3,127.000","3,127.000","-1.08%"
"Oct 31, 2019","3,161.000","3,161.000","3,161.000","3,161.000","-0.19%"
"Oct 30, 2019","3,167.000","3,167.000","3,167.000","3,167.000","-0.13%"
"Oct 29, 2019","3,171.000","3,171.000","3,171.000","3,171.000","0.16%"
"Oct 28, 2019","3,166.000","3,166.000","3,166.000","3,166.000","0.19%"
"Oct 25, 2019","3,160.000","3,160.000","3,160.000","3,160.000","0.10%"
"Oct 24, 2019","3,157.000","3,157.000","3,157.000","3,157.000","0.29%"
"Oct 23, 2019","3,148.000","3,148.000","3,148.000","3,148.000","-0.98%"
"Oct 21, 2019","3,179.000","3,179.000","3,179.000","3,179.000","-0.09%"
"Oct 18, 2019","3,182.000","3,182.000","3,182.000","3,182.000","0.06%"
"Oct 17, 2019","3,180.000","3,180.000","3,180.000","3,180.000","0.06%"
"Oct 16, 2019","3,178.000","3,178.000","3,178.000","3,178.000","0.44%"
"Oct 15, 2019","3,164.000","3,164.000","3,164.000","3,164.000","0.51%"
"Oct 11, 2019","3,148.000","3,148.000","3,148.000","3,148.000","0.83%"
"Oct 10, 2019","3,122.000","3,122.000","3,122.000","3,122.000","0.35%"
"Oct 09, 2019","3,111.000","3,111.000","3,111.000","3,111.000","-0.45%"
"Oct 08, 2019","3,125.000","3,125.000","3,125.000","3,125.000","0.58%"
"Oct 07, 2019","3,107.000","3,107.000","3,107.000","3,107.000","0.13%"
"Oct 04, 2019","3,103.000","3,103.000","3,103.000","3,103.000","-0.32%"
"Oct 03, 2019","3,113.000","3,113.000","3,113.000","3,113.000","-1.02%"
"Oct 02, 2019","3,145.000","3,145.000","3,145.000","3,145.000","-0.54%"
"Oct 01, 2019","3,162.000","3,162.000","3,162.000","3,162.000","0.19%"
"Sep 30, 2019","3,156.000","3,156.000","3,156.000","3,156.000","-0.03%"
"Sep 27, 2019","3,157.000","3,157.000","3,157.000","3,157.000","0.03%"
"Sep 26, 2019","3,156.000","3,156.000","3,156.000","3,156.000","0.41%"
"Sep 25, 2019","3,143.000","3,143.000","3,143.000","3,143.000","-0.66%"
"Sep 24, 2019","3,164.000","3,164.000","3,164.000","3,164.000","-1.19%"
"Sep 20, 2019","3,202.000","3,202.000","3,202.000","3,202.000","-0.37%"
"Sep 19, 2019","3,214.000","3,214.000","3,214.000","3,214.000","0.19%"
"Sep 18, 2019","3,208.000","3,208.000","3,208.000","3,208.000","-0.03%"
"Sep 17, 2019","3,209.000","3,209.000","3,209.000","3,209.000","0.38%"
"Sep 13, 2019","3,197.000","3,197.000","3,197.000","3,197.000","0.13%"
"Sep 12, 2019","3,193.000","3,193.000","3,193.000","3,193.000","0.35%"
"Sep 11, 2019","3,182.000","3,182.000","3,182.000","3,182.000","0.22%"
"Sep 10, 2019","3,175.000","3,175.000","3,175.000","3,175.000","0.57%"
"Sep 09, 2019","3,157.000","3,157.000","3,157.000","3,157.000","-0.03%"
"Sep 06, 2019","3,158.000","3,158.000","3,158.000","3,158.000","0.83%"
"Sep 05, 2019","3,132.000","3,132.000","3,132.000","3,132.000","0.61%"
"Sep 04, 2019","3,113.000","3,113.000","3,113.000","3,113.000","-0.54%"
"Sep 03, 2019","3,130.000","3,130.000","3,130.000","3,130.000","0.19%"
"Sep 02, 2019","3,124.000","3,124.000","3,124.000","3,124.000","-0.26%"
"Aug 30, 2019","3,132.000","3,132.000","3,132.000","3,132.000","0.64%"
"Aug 29, 2019","3,112.000","3,112.000","3,112.000","3,112.000","0.42%"
