"Date","Price","Open","High","Low","Change %"
"Dec 30, 2019","8,902.000","8,902.000","8,902.000","8,902.000","1.85%"
"Dec 27, 2019","8,740.000","8,740.000","8,740.000","8,740.000","-0.01%"
"Dec 26, 2019","8,741.000","8,741.000","8,741.000","8,741.000","0.03%"
"Dec 25, 2019","8,738.000","8,738.000","8,738.000","8,738.000","0.01%"
"Dec 24, 2019","8,737.000","8,737.000","8,737.000","8,737.000","0.21%"
"Dec 23, 2019","8,719.000","8,719.000","8,719.000","8,719.000","0.14%"
"Dec 20, 2019","8,707.000","8,707.000","8,707.000","8,707.000","0.14%"
"Dec 19, 2019","8,695.000","8,695.000","8,695.000","8,695.000","-0.13%"
"Dec 18, 2019","8,706.000","8,706.000","8,706.000","8,706.000","-0.03%"
"Dec 17, 2019","8,709.000","8,709.000","8,709.000","8,709.000","0.76%"
"Dec 16, 2019","8,643.000","8,643.000","8,643.000","8,643.000","-0.24%"
"Dec 13, 2019","8,664.000","8,664.000","8,664.000","8,664.000","0.07%"
"Dec 12, 2019","8,658.000","8,658.000","8,658.000","8,658.000","0.10%"
"Dec 11, 2019","8,649.000","8,649.000","8,649.000","8,649.000","0.23%"
"Dec 10, 2019","8,629.000","8,629.000","8,629.000","8,629.000","0.26%"
"Dec 09, 2019","8,607.000","8,607.000","8,607.000","8,607.000","-1.23%"
"Dec 06, 2019","8,714.000","8,714.000","8,714.000","8,714.000","0.03%"
"Dec 05, 2019","8,711.000","8,711.000","8,711.000","8,711.000","-0.15%"
"Dec 04, 2019","8,724.000","8,724.000","8,724.000","8,724.000","1.03%"
"Dec 03, 2019","8,635.000","8,635.000","8,635.000","8,635.000","0.07%"
"Dec 02, 2019","8,629.000","8,629.000","8,629.000","8,629.000","0.35%"
"Nov 29, 2019","8,599.000","8,599.000","8,599.000","8,599.000","0.00%"
"Nov 28, 2019","8,599.000","8,599.000","8,599.000","8,599.000","-0.01%"
"Nov 27, 2019","8,600.000","8,600.000","8,600.000","8,600.000","-0.26%"
"Nov 26, 2019","8,622.000","8,622.000","8,622.000","8,622.000","-0.43%"
"Nov 25, 2019","8,659.000","8,659.000","8,659.000","8,659.000","-0.20%"
