"Date","Price","Open","High","Low","Change %"
"Dec 31, 2019","298.14","298.14","298.14","298.14","0.30%"
"Dec 30, 2019","297.25","297.25","297.25","297.25","-0.57%"
"Dec 27, 2019","298.94","298.94","298.94","298.94","0.00%"
"Dec 26, 2019","298.93","298.93","298.93","298.93","0.52%"
"Dec 24, 2019","297.38","297.38","297.38","297.38","-0.01%"
"Dec 23, 2019","297.41","297.41","297.41","297.41","0.08%"
"Dec 20, 2019","297.16","297.16","297.16","297.16","0.02%"
"Dec 19, 2019","297.11","297.11","297.11","297.11","0.45%"
"Dec 18, 2019","295.77","295.77","295.77","295.77","-0.03%"
"Dec 17, 2019","295.87","295.87","295.87","295.87","0.03%"
"Dec 16, 2019","295.77","295.77","295.77","295.77","0.72%"
"Dec 13, 2019","293.66","293.66","293.66","293.66","0.02%"
"Dec 12, 2019","293.59","293.59","293.59","293.59","0.87%"
"Dec 11, 2019","291.05","291.05","291.05","291.05","0.29%"
"Dec 10, 2019","290.21","290.21","290.21","290.21","-0.11%"
"Dec 09, 2019","290.52","290.52","290.52","290.52","-0.31%"
"Dec 06, 2019","291.41","291.41","291.41","291.41","0.92%"
"Dec 05, 2019","288.76","288.76","288.76","288.76","0.18%"
"Dec 04, 2019","288.25","288.25","288.25","288.25","0.64%"
"Dec 03, 2019","286.41","286.41","286.41","286.41","-0.66%"
"Dec 02, 2019","288.31","288.31","288.31","288.31","-0.86%"
"Nov 29, 2019","290.82","290.82","290.82","290.82","-0.38%"
"Nov 27, 2019","291.92","291.92","291.92","291.92","0.43%"
"Nov 26, 2019","290.67","290.67","290.67","290.67","0.22%"
"Nov 25, 2019","290.03","290.03","290.03","290.03","0.76%"
"Nov 22, 2019","287.83","287.83","287.83","287.83","0.22%"
"Nov 21, 2019","287.21","287.21","287.21","287.21","-0.15%"
"Nov 20, 2019","287.64","287.64","287.64","287.64","-0.36%"
"Nov 19, 2019","288.67","288.67","288.67","288.67","-0.05%"
"Nov 18, 2019","288.82","288.82","288.82","288.82","0.05%"
"Nov 15, 2019","288.67","288.67","288.67","288.67","0.79%"
"Nov 14, 2019","286.42","286.42","286.42","286.42","0.11%"
"Nov 13, 2019","286.11","286.11","286.11","286.11","0.07%"
"Nov 12, 2019","285.90","285.90","285.90","285.90","0.16%"
"Nov 11, 2019","285.43","285.43","285.43","285.43","-0.20%"
"Nov 08, 2019","286.00","286.00","286.00","286.00","0.28%"
"Nov 07, 2019","285.21","285.21","285.21","285.21","0.32%"
"Nov 06, 2019","284.30","284.40","284.40","284.30","0.08%"
"Nov 05, 2019","284.08","284.08","284.08","284.08","-0.12%"
"Nov 04, 2019","284.42","284.42","284.42","284.42","0.37%"
"Nov 01, 2019","283.37","283.37","283.37","283.37","0.98%"
"Oct 31, 2019","280.63","280.63","280.63","280.63","-0.30%"
"Oct 30, 2019","281.47","281.47","281.47","281.47","0.29%"
"Oct 29, 2019","280.67","280.67","280.67","280.67","-0.03%"
"Oct 28, 2019","280.76","280.76","280.76","280.76","0.56%"
"Oct 25, 2019","279.20","279.20","279.20","279.20","0.41%"
"Oct 24, 2019","278.07","278.07","278.07","278.07","0.19%"
"Oct 23, 2019","277.53","277.53","277.53","277.53","0.29%"
"Oct 22, 2019","276.74","276.74","276.74","276.74","-0.35%"
"Oct 21, 2019","277.72","277.72","277.72","277.72","0.69%"
"Oct 18, 2019","275.82","275.82","275.82","275.82","-0.39%"
"Oct 17, 2019","276.89","276.89","276.89","276.89","0.28%"
"Oct 16, 2019","276.11","276.11","276.11","276.11","-0.20%"
"Oct 15, 2019","276.65","276.65","276.65","276.65","1.00%"
"Oct 14, 2019","273.92","273.92","273.92","273.92","-0.14%"
"Oct 11, 2019","274.30","274.30","274.30","274.30","1.11%"
"Oct 10, 2019","271.30","271.30","271.30","271.30","0.64%"
"Oct 09, 2019","269.57","269.57","269.57","269.57","0.94%"
"Oct 08, 2019","267.05","267.05","267.05","267.05","-1.56%"
"Oct 07, 2019","271.27","271.27","271.27","271.27","-0.45%"
"Oct 04, 2019","272.49","272.49","272.49","272.49","1.42%"
"Oct 03, 2019","268.67","268.67","268.67","268.67","0.82%"
"Oct 02, 2019","266.48","266.48","266.48","266.48","-1.79%"
"Oct 01, 2019","271.33","271.33","271.33","271.33","-1.22%"
"Sep 30, 2019","274.69","274.69","274.69","274.69","0.51%"
"Sep 27, 2019","273.30","273.30","273.30","273.30","-0.52%"
