ID,diagOnly,meta,metaRate,penalty,initAlpha,initD,wGen,initLambda,finalLambda,tauLambda
1,0,0,0.001,0.0001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
2,1,0,0.001,0.0001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
3,0,1,0.001,0.0001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
4,1,1,0.001,0.0001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
5,0,0,0.01,0.0001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
6,1,0,0.01,0.0001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
7,0,1,0.01,0.0001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
8,1,1,0.01,0.0001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
9,0,0,0.1,0.0001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
10,1,0,0.1,0.0001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
11,0,1,0.1,0.0001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
12,1,1,0.1,0.0001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
13,0,0,0.001,0.001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
14,1,0,0.001,0.001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
15,0,1,0.001,0.001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
16,1,1,0.001,0.001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
17,0,0,0.01,0.001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
18,1,0,0.01,0.001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
19,0,1,0.01,0.001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
20,1,1,0.01,0.001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
21,0,0,0.1,0.001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
22,1,0,0.1,0.001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
23,0,1,0.1,0.001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
24,1,1,0.1,0.001,0.0001,0.0001,0.0001,1e-05,0.99,0.05
25,0,0,0.001,0.0001,0.001,0.0001,0.0001,1e-05,0.99,0.05
26,1,0,0.001,0.0001,0.001,0.0001,0.0001,1e-05,0.99,0.05
27,0,1,0.001,0.0001,0.001,0.0001,0.0001,1e-05,0.99,0.05
28,1,1,0.001,0.0001,0.001,0.0001,0.0001,1e-05,0.99,0.05
29,0,0,0.01,0.0001,0.001,0.0001,0.0001,1e-05,0.99,0.05
30,1,0,0.01,0.0001,0.001,0.0001,0.0001,1e-05,0.99,0.05
31,0,1,0.01,0.0001,0.001,0.0001,0.0001,1e-05,0.99,0.05
32,1,1,0.01,0.0001,0.001,0.0001,0.0001,1e-05,0.99,0.05
33,0,0,0.1,0.0001,0.001,0.0001,0.0001,1e-05,0.99,0.05
34,1,0,0.1,0.0001,0.001,0.0001,0.0001,1e-05,0.99,0.05
35,0,1,0.1,0.0001,0.001,0.0001,0.0001,1e-05,0.99,0.05
36,1,1,0.1,0.0001,0.001,0.0001,0.0001,1e-05,0.99,0.05
37,0,0,0.001,0.001,0.001,0.0001,0.0001,1e-05,0.99,0.05
38,1,0,0.001,0.001,0.001,0.0001,0.0001,1e-05,0.99,0.05
39,0,1,0.001,0.001,0.001,0.0001,0.0001,1e-05,0.99,0.05
40,1,1,0.001,0.001,0.001,0.0001,0.0001,1e-05,0.99,0.05
41,0,0,0.01,0.001,0.001,0.0001,0.0001,1e-05,0.99,0.05
42,1,0,0.01,0.001,0.001,0.0001,0.0001,1e-05,0.99,0.05
43,0,1,0.01,0.001,0.001,0.0001,0.0001,1e-05,0.99,0.05
44,1,1,0.01,0.001,0.001,0.0001,0.0001,1e-05,0.99,0.05
45,0,0,0.1,0.001,0.001,0.0001,0.0001,1e-05,0.99,0.05
46,1,0,0.1,0.001,0.001,0.0001,0.0001,1e-05,0.99,0.05
47,0,1,0.1,0.001,0.001,0.0001,0.0001,1e-05,0.99,0.05
48,1,1,0.1,0.001,0.001,0.0001,0.0001,1e-05,0.99,0.05
